time_s,phase,mode,C_O_m_per_N,f_des_x_N,f_des_y_N,f_des_z_N,f_des_mag_N,f_meas_gd_x_N,f_meas_gd_y_N,f_meas_gd_z_N,f_meas_gd_mag_N,converged,K_thumb_task_00_Npm,K_thumb_task_11_Npm,K_thumb_task_22_Npm,K_thumb_joint_0_Nmrad,K_thumb_joint_1_Nmrad,K_thumb_joint_2_Nmrad,K_thumb_joint_3_Nmrad,d_ref_thumb_x_m,d_ref_thumb_y_m,d_ref_thumb_z_m,theta_ref_thumb_0_deg,theta_ref_thumb_1_deg,theta_ref_thumb_2_deg,theta_ref_thumb_3_deg,q_motor_0_rad,q_motor_1_rad,q_motor_2_rad,q_motor_3_rad,q_motor_4_rad,q_motor_5_rad,q_motor_6_rad,q_motor_7_rad,q_motor_8_rad,q_motor_9_rad,q_motor_10_rad,q_motor_11_rad,q_motor_12_rad,q_dot_motor_0_rads,q_dot_motor_1_rads,q_dot_motor_2_rads,q_dot_motor_3_rads,q_dot_motor_4_rads,q_dot_motor_5_rads,q_dot_motor_6_rads,q_dot_motor_7_rads,q_dot_motor_8_rads,q_dot_motor_9_rads,q_dot_motor_10_rads,q_dot_motor_11_rads,q_dot_motor_12_rads,joint_thumb_CMC1_rad,joint_thumb_CMC2_rad,joint_thumb_MCP_rad,joint_thumb_IP_rad,joint_spread_index_rad,joint_spread_middle_rad,joint_spread_ring_rad,joint_spread_pinky_rad,joint_index_MCP_rad,joint_index_PIP_rad,joint_index_DIP_rad,joint_middle_MCP_rad,joint_middle_PIP_rad,joint_middle_DIP_rad,joint_ring_MCP_rad,joint_ring_PIP_rad,joint_ring_DIP_rad,joint_pinky_MCP_rad,joint_pinky_PIP_rad,joint_pinky_DIP_rad,tip_thumb_x_m,tip_thumb_y_m,tip_thumb_z_m,ref_thumb_x_m,ref_thumb_y_m,ref_thumb_z_m,disp_thumb_x_m,disp_thumb_y_m,disp_thumb_z_m,disp_thumb_mag_m,force_1st_thumb_x_N,force_1st_thumb_y_N,force_1st_thumb_z_N,force_1st_thumb_mag_N,stiff_1st_thumb_00_Npm,stiff_1st_thumb_01_Npm,stiff_1st_thumb_02_Npm,stiff_1st_thumb_10_Npm,stiff_1st_thumb_11_Npm,stiff_1st_thumb_12_Npm,stiff_1st_thumb_20_Npm,stiff_1st_thumb_21_Npm,stiff_1st_thumb_22_Npm,stiff_1st_thumb_eig_0_Npm,stiff_1st_thumb_eig_1_Npm,stiff_1st_thumb_eig_2_Npm,tip_index_x_m,tip_index_y_m,tip_index_z_m,ref_index_x_m,ref_index_y_m,ref_index_z_m,disp_index_x_m,disp_index_y_m,disp_index_z_m,disp_index_mag_m,force_1st_index_x_N,force_1st_index_y_N,force_1st_index_z_N,force_1st_index_mag_N,stiff_1st_index_00_Npm,stiff_1st_index_01_Npm,stiff_1st_index_02_Npm,stiff_1st_index_10_Npm,stiff_1st_index_11_Npm,stiff_1st_index_12_Npm,stiff_1st_index_20_Npm,stiff_1st_index_21_Npm,stiff_1st_index_22_Npm,stiff_1st_index_eig_0_Npm,stiff_1st_index_eig_1_Npm,stiff_1st_index_eig_2_Npm,tip_middle_x_m,tip_middle_y_m,tip_middle_z_m,ref_middle_x_m,ref_middle_y_m,ref_middle_z_m,disp_middle_x_m,disp_middle_y_m,disp_middle_z_m,disp_middle_mag_m,force_1st_middle_x_N,force_1st_middle_y_N,force_1st_middle_z_N,force_1st_middle_mag_N,stiff_1st_middle_00_Npm,stiff_1st_middle_01_Npm,stiff_1st_middle_02_Npm,stiff_1st_middle_10_Npm,stiff_1st_middle_11_Npm,stiff_1st_middle_12_Npm,stiff_1st_middle_20_Npm,stiff_1st_middle_21_Npm,stiff_1st_middle_22_Npm,stiff_1st_middle_eig_0_Npm,stiff_1st_middle_eig_1_Npm,stiff_1st_middle_eig_2_Npm,tip_ring_x_m,tip_ring_y_m,tip_ring_z_m,ref_ring_x_m,ref_ring_y_m,ref_ring_z_m,disp_ring_x_m,disp_ring_y_m,disp_ring_z_m,disp_ring_mag_m,force_1st_ring_x_N,force_1st_ring_y_N,force_1st_ring_z_N,force_1st_ring_mag_N,stiff_1st_ring_00_Npm,stiff_1st_ring_01_Npm,stiff_1st_ring_02_Npm,stiff_1st_ring_10_Npm,stiff_1st_ring_11_Npm,stiff_1st_ring_12_Npm,stiff_1st_ring_20_Npm,stiff_1st_ring_21_Npm,stiff_1st_ring_22_Npm,stiff_1st_ring_eig_0_Npm,stiff_1st_ring_eig_1_Npm,stiff_1st_ring_eig_2_Npm,tip_pinky_x_m,tip_pinky_y_m,tip_pinky_z_m,ref_pinky_x_m,ref_pinky_y_m,ref_pinky_z_m,disp_pinky_x_m,disp_pinky_y_m,disp_pinky_z_m,disp_pinky_mag_m,force_1st_pinky_x_N,force_1st_pinky_y_N,force_1st_pinky_z_N,force_1st_pinky_mag_N,stiff_1st_pinky_00_Npm,stiff_1st_pinky_01_Npm,stiff_1st_pinky_02_Npm,stiff_1st_pinky_10_Npm,stiff_1st_pinky_11_Npm,stiff_1st_pinky_12_Npm,stiff_1st_pinky_20_Npm,stiff_1st_pinky_21_Npm,stiff_1st_pinky_22_Npm,stiff_1st_pinky_eig_0_Npm,stiff_1st_pinky_eig_1_Npm,stiff_1st_pinky_eig_2_Npm
26.5133,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.875903,-1.629088,0.023981,-0.000000,0.000000,0.008251,0.023981,0.023981,0.023981,0.022522,0.014683,0.023981,-0.000000,0.033097,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.532549,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,0.000000,0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397374,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041898,0.096814,0.078266,0.028762,0.057203,0.051003,0.013136,0.039611,0.027263,0.049848,-0.070128,-0.131988,-0.163553,0.221559,0.869779,1.637019,2.028515,1.637019,3.081046,3.817884,2.028515,3.817884,4.730938,-0.000000,0.000000,8.681763
26.5497,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.875903,-1.629088,0.023981,-0.000000,0.000000,0.012858,0.023981,0.023981,0.023981,0.023569,0.010119,0.023981,-0.000000,0.026555,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.532549,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,0.000000,0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397374,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041898,0.096814,0.078266,0.028762,0.057203,0.051003,0.013136,0.039611,0.027263,0.049848,-0.070128,-0.131988,-0.163553,0.221559,0.869779,1.637019,2.028515,1.637019,3.081046,3.817884,2.028515,3.817884,4.730938,-0.000000,0.000000,8.681763
26.5861,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.528000,0.325204,-2.458971,0.874369,-1.629088,0.023981,-0.000000,0.000000,0.014341,0.023981,0.023981,0.023981,0.023864,0.008269,0.023981,-0.000000,-0.006438,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.121562,1.121562,0.197724,1.127968,1.127968,0.531616,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,-0.000000,-0.000000,9.955080,0.002383,0.110018,0.092541,-0.001121,0.067683,0.047771,0.003504,0.042335,0.044770,0.061716,-0.043545,-0.339768,-0.206483,0.399968,0.133682,1.043086,0.633901,1.043086,8.138915,4.946158,0.633901,4.946158,3.005865,-0.000000,0.000000,11.278462,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397375,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041925,0.096805,0.078311,0.028762,0.057203,0.051003,0.013163,0.039602,0.027307,0.049873,-0.070234,-0.131888,-0.163735,0.221668,0.871572,1.636665,2.031864,1.636665,3.073379,3.815497,2.031864,3.815497,4.736811,-0.000000,0.000000,8.681763
26.6225,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.874369,-1.629088,0.023981,-0.000000,0.000000,0.010549,0.023981,0.023981,0.023981,0.023948,0.013011,0.023981,-0.000000,-0.002571,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.531616,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,-0.000000,-0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397375,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041925,0.096805,0.078311,0.028762,0.057203,0.051003,0.013163,0.039602,0.027307,0.049873,-0.070234,-0.131888,-0.163735,0.221668,0.871572,1.636665,2.031864,1.636665,3.073379,3.815497,2.031864,3.815497,4.736811,-0.000000,0.000000,8.681763
26.6624,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.874369,-1.629088,0.023981,-0.000000,0.000000,0.009330,0.023981,0.023981,0.023981,0.023972,0.007211,0.023981,-0.000000,-0.000653,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.531616,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,-0.000000,-0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397375,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041925,0.096805,0.078311,0.028762,0.057203,0.051003,0.013163,0.039602,0.027307,0.049873,-0.070234,-0.131888,-0.163735,0.221668,0.871572,1.636665,2.031864,1.636665,3.073379,3.815497,2.031864,3.815497,4.736811,-0.000000,0.000000,8.681763
26.7012,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.875903,-1.629088,0.023981,-0.000000,0.000000,0.002372,0.023981,0.023981,0.023981,0.023979,0.016397,0.023981,-0.000000,0.020592,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.532549,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,0.000000,0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397374,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041898,0.096814,0.078266,0.028762,0.057203,0.051003,0.013136,0.039611,0.027263,0.049848,-0.070128,-0.131988,-0.163553,0.221559,0.869779,1.637019,2.028515,1.637019,3.081046,3.817884,2.028515,3.817884,4.730938,-0.000000,0.000000,8.681763
26.7376,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.875903,-1.629088,0.023981,-0.000000,0.000000,0.000670,0.023981,0.023981,0.023981,0.023980,0.017894,0.023981,-0.000000,0.028995,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.532549,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,0.000000,0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397374,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041898,0.096814,0.078266,0.028762,0.057203,0.051003,0.013136,0.039611,0.027263,0.049848,-0.070128,-0.131988,-0.163553,0.221559,0.869779,1.637019,2.028515,1.637019,3.081046,3.817884,2.028515,3.817884,4.730938,-0.000000,0.000000,8.681763
26.7740,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.874369,-1.629088,0.023981,-0.000000,0.000000,0.013828,0.023981,0.023981,0.023981,0.012744,0.009782,0.023981,-0.000000,-0.000671,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.531616,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,-0.000000,-0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397375,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041925,0.096805,0.078311,0.028762,0.057203,0.051003,0.013163,0.039602,0.027307,0.049873,-0.070234,-0.131888,-0.163735,0.221668,0.871572,1.636665,2.031864,1.636665,3.073379,3.815497,2.031864,3.815497,4.736811,-0.000000,0.000000,8.681763
26.8103,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.874369,-1.629088,0.023981,-0.000000,0.000000,0.006423,0.023981,0.023981,0.023981,0.017257,0.011724,0.023981,-0.000000,-0.003740,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.531616,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,-0.000000,-0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397375,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041925,0.096805,0.078311,0.028762,0.057203,0.051003,0.013163,0.039602,0.027307,0.049873,-0.070234,-0.131888,-0.163735,0.221668,0.871572,1.636665,2.031864,1.636665,3.073379,3.815497,2.031864,3.815497,4.736811,-0.000000,0.000000,8.681763
26.8467,sense,stiffness,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10.000000,10.000000,10.000000,0.100000,0.100000,0.000000,0.000000,-0.002810,0.075056,-0.019355,90.000000,-60.000000,90.000000,90.000000,2.540272,-1.055379,-1.168893,-0.785398,0.001534,0.937262,-1.833107,0.578311,-2.526466,0.325204,-2.458971,0.874369,-1.629088,0.023981,-0.000000,0.000000,0.001814,0.023981,0.023981,0.023981,0.022082,0.009678,0.023981,-0.000000,-0.001056,0.000000,0.943638,-0.597610,0.966028,0.680588,-0.000051,-0.000000,0.000051,0.000077,0.569855,0.840875,0.840875,0.351613,1.120881,1.120881,0.197724,1.127968,1.127968,0.531616,0.842341,0.842341,-0.056237,0.089644,-0.017065,-0.002810,0.075056,-0.019355,-0.053428,0.014587,0.002290,0.055430,0.175782,-0.260864,0.224193,0.386280,7.463714,-11.076288,9.519263,-11.076288,16.437413,-14.126759,9.519263,-14.126759,12.140921,-0.000000,0.000000,36.042047,-0.019343,0.117566,0.090957,-0.017227,0.064824,0.049990,-0.002116,0.052742,0.040967,0.066817,-0.005200,-0.202118,-0.258721,0.328353,0.002497,0.097046,0.124223,0.097046,3.772030,4.828378,0.124223,4.828378,6.180553,-0.000000,-0.000000,9.955080,0.002386,0.110044,0.092573,-0.001121,0.067683,0.047771,0.003506,0.042361,0.044802,0.061757,-0.043567,-0.339658,-0.207052,0.400170,0.133787,1.043034,0.635824,1.043034,8.131729,4.957031,0.635824,4.957031,3.021762,-0.000000,0.000000,11.287278,0.026814,0.104267,0.094830,0.012048,0.063219,0.045966,0.014767,0.041048,0.048864,0.065503,-0.091470,-0.305965,-0.236485,0.397375,0.561814,1.879262,1.452507,1.879262,6.286112,4.858623,1.452507,4.858623,3.755297,-0.000000,0.000000,10.603223,0.041925,0.096805,0.078311,0.028762,0.057203,0.051003,0.013163,0.039602,0.027307,0.049873,-0.070234,-0.131888,-0.163735,0.221668,0.871572,1.636665,2.031864,1.636665,3.073379,3.815497,2.031864,3.815497,4.736811,-0.000000,0.000000,8.681763
